Date,MMWR_week,Location,Distributed,Dist_Per_100K,Administered,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus
2021-12-02,48,KY,7112385,159197,5454693,122092,141984,147681,212880
2021-12-02,48,IL,21632335,170712,17941198,141583,162912,167347,222336
2021-12-02,48,CO,10264195,178237,8678461,150701,173058,177839,239141
2021-12-02,48,TX,49398665,170364,37460779,129193,153714,158131,215092
2021-12-02,48,GA,17530925,165115,12428816,117061,137322,143109,209966
2021-12-02,48,ME,2682360,199549,2253584,167651,187518,191939,255323
2021-12-02,48,DE,1876175,192672,1455576,149479,171782,176167,245519
2021-12-02,48,AZ,11857580,162908,9670070,132854,154390,158878,221999
2021-12-02,48,RI,2072145,195603,1758311,165978,187010,190579,255024
2021-12-02,48,SD,1506205,170258,1159322,131047,155141,161342,235181
2021-12-02,48,MO,9391535,153021,7468812,121693,141265,146632,212306
2021-12-02,48,CT,6884475,193097,6036671,169318,191816,195583,255672
2021-12-02,48,MN,9995440,177236,8322440,147571,170931,176357,250391
2021-12-02,48,AK,1281415,175166,963790,131747,155924,160877,216743
2021-12-02,48,LA,6732870,144830,5255044,113041,133439,139416,209636
2021-12-02,48,NH,2667170,196157,2148148,157986,177788,181082,244463
2021-12-02,48,NJ,17199085,193636,13599644,153111,176493,180513,223752
2021-12-02,48,NC,17877500,170455,13650328,130151,150160,155175,219705
2021-12-02,48,VA,15756175,184595,13178709,154398,177306,180944,235564
2021-12-02,48,AR,4871540,161427,3549259,117611,137454,142188,199594
2021-12-02,48,UT,5045810,157389,4120360,128522,156739,162712,234200
2021-12-02,48,MD,12291670,203313,9532394,157673,181784,185133,237717
2021-12-02,48,MI,16647430,166693,12844066,128610,147747,153317,220797
2021-12-02,48,OH,18384655,157280,14521898,124235,143635,149371,219942
2021-12-02,48,NM,3651795,174158,3151114,150280,174363,179567,231549
2021-12-02,48,WA,14156605,185907,11468556,150607,174079,178112,237665
2021-12-02,48,NE,3169720,163860,2617739,135325,159671,165833,239745
2021-12-01,48,NV,4775560,155043,3973726,129011,150627,155494,207970
2021-12-01,48,VA,15686355,183777,13133903,153874,176844,180450,234879
2021-12-01,48,AR,4868170,161315,3537301,117214,137060,141761,198879
2021-12-01,48,PA,23839575,186218,18370812,143500,163964,168882,232417
2021-12-01,48,NY,35787295,183963,30026156,154348,177551,181175,213528
2021-12-01,48,ID,2757390,154297,1888954,105701,0,140976,216150
2021-12-01,48,OR,8013745,190001,6217725,147419,168290,172273,224818
2021-12-01,48,SD,1496165,169123,1154511,130504,154592,160750,234324
