filenames,done,total_tweets,good_tweets
2021_august14_august15.csv,1,296,263
2021_august15_august16.csv,1,230,191
2021_august16_august17.csv,1,258,221
2021_august17_august18.csv,1,314,281
2021_august18_august19.csv,1,302,278
2021_august19_august20.csv,1,306,269
2021_august1_august2.csv,1,286,244
2021_august20_august21.csv,1,331,287
2021_august21_august22.csv,1,383,343
2021_august22_august23.csv,1,189,145
2021_august23_august24.csv,1,237,204
2021_august24_august25.csv,1,343,297
2021_august25_august26.csv,1,293,255
2021_august26_august27.csv,1,338,291
2021_august27_august28.csv,1,315,278
2021_august28_august29.csv,1,271,229
2021_august29_august30.csv,1,317,275
2021_august2_august3.csv,1,295,263
2021_august30_august31.csv,1,242,209
2021_august31_september1.csv,1,238,200
2021_august3_august4.csv,1,301,270
2021_august4_august5.csv,1,281,256
2021_august5_august6.csv,1,318,276
2021_august6_august7.csv,1,302,261
2021_august7_august8.csv,1,280,244
2021_august8_august9.csv,1,255,225
2021_august9_august10.csv,1,297,253
2021_february10_february11.csv,1,697,522
2021_february11_february12.csv,1,614,423
2021_february12_february13.csv,1,736,561
2021_february13_february14.csv,1,601,431
2021_february14_february15.csv,1,594,448
2021_february15_february16.csv,1,648,494
2021_february16_february17.csv,1,656,467
2021_february17_february18.csv,1,675,507
2021_february18_february19.csv,1,627,470
2021_february19_february20.csv,1,637,462
2021_february1_february2.csv,1,777,522
2021_february20_february21.csv,1,609,431
2021_february21_february22.csv,1,559,386
2021_february22_february23.csv,1,644,459
2021_february23_february24.csv,1,615,439
2021_february24_february25.csv,1,646,475
2021_february25_february26.csv,1,643,491
2021_february26_february27.csv,1,578,422
2021_february27_february28.csv,1,669,477
2021_february28_march1.csv,1,581,404
2021_february2_february3.csv,1,688,457
2021_february3_february4.csv,1,713,478
2021_february4_february5.csv,1,651,449
2021_february5_february6.csv,1,743,552
2021_february6_february7.csv,1,631,454
2021_february7_february8.csv,1,685,471
2021_february8_february9.csv,1,627,447
2021_february9_february10.csv,1,665,494
2021_january10_january11.csv,1,554,489
2021_january11_january12.csv,1,577,499
2021_january12_january13.csv,1,660,589
2021_january13_january14.csv,1,566,501
2021_january14_january15.csv,1,709,634
2021_january15_january16.csv,1,625,564
2021_january16_january17.csv,1,545,480
2021_january17_january18.csv,1,587,507
2021_january18_january19.csv,1,541,457
2021_january19_january20.csv,1,625,530
2021_january1_january2.csv,1,582,512
2021_january20_january21.csv,1,505,430
2021_january21_january22.csv,1,534,452
2021_january22_january23.csv,1,584,501
2021_january23_january24.csv,1,591,505
2021_january24_january25.csv,1,561,509
2021_january25_january26.csv,1,516,452
2021_january26_january27.csv,1,596,521
2021_january27_january28.csv,1,580,498
2021_january28_january29.csv,1,660,545
2021_january29_january30.csv,1,784,533
2021_january2_january3.csv,1,458,415
2021_january30_january31.csv,1,774,493
2021_january31_february1.csv,1,703,429
2021_january3_january4.csv,1,423,373
2021_january4_january5.csv,1,479,420
2021_january5_january6.csv,1,675,619
2021_january6_january7.csv,1,584,530
2021_january7_january8.csv,1,662,599
2021_january8_january9.csv,1,646,584
2021_january9_january10.csv,1,677,609
2021_july10_july11.csv,1,287,262
2021_july11_july12.csv,1,268,227
2021_july12_july13.csv,1,293,246
2021_july13_july14.csv,1,311,266
2021_july14_july15.csv,1,323,274
2021_july15_july16.csv,1,333,292
2021_july16_july17.csv,1,347,308
2021_july17_july18.csv,1,351,312
2021_july18_july19.csv,1,301,267
2021_july19_july20.csv,1,317,279
2021_july1_july2.csv,1,349,307
2021_july20_july21.csv,1,314,278
2021_july21_july22.csv,1,321,282
2021_july22_july23.csv,1,298,264
2021_july23_july24.csv,1,330,290
2021_july24_july25.csv,1,297,270
2021_july25_july26.csv,1,237,199
2021_july26_july27.csv,1,279,241
2021_july27_july28.csv,1,298,252
2021_july28_july29.csv,1,297,262
2021_july29_july30.csv,1,279,239
2021_july2_july3.csv,1,319,274
2021_july30_july31.csv,1,302,259
2021_july31_august1.csv,1,292,253
2021_july3_july4.csv,1,281,234
2021_july4_july5.csv,1,281,231
2021_july5_july6.csv,1,281,236
2021_july6_july7.csv,1,296,255
2021_july7_july8.csv,1,313,271
2021_july8_july9.csv,1,324,284
2021_july9_july10.csv,1,327,290
2021_june10_june11.csv,1,402,361
2021_june11_june12.csv,1,376,340
2021_june12_june13.csv,1,331,298
2021_june13_june14.csv,1,295,246
2021_june14_june15.csv,1,330,293
2021_june15_june16.csv,1,395,344
2021_june16_june17.csv,1,358,324
2021_june17_june18.csv,1,341,305
2021_june18_june19.csv,1,351,287
2021_june19_june20.csv,1,293,261
2021_june1_june2.csv,1,457,405
2021_june20_june21.csv,1,237,201
2021_june21_june22.csv,1,276,243
2021_june22_june23.csv,1,311,262
2021_june23_june24.csv,1,329,286
2021_june24_june25.csv,1,313,269
2021_june25_june26.csv,1,306,258
2021_june26_june27.csv,1,319,272
2021_june27_june28.csv,1,281,248
2021_june28_june29.csv,1,292,249
2021_june29_june30.csv,1,342,284
2021_june2_june3.csv,1,398,363
2021_june30_july1.csv,1,307,267
2021_june3_june4.csv,1,400,350
2021_june4_june5.csv,1,470,426
2021_june5_june6.csv,1,390,347
2021_june6_june7.csv,1,310,280
2021_june7_june8.csv,1,366,324
2021_june8_june9.csv,1,381,337
2021_june9_june10.csv,1,408,365
2021_march10_march11.csv,1,655,469
2021_march11_march12.csv,1,715,504
2021_march12_march13.csv,1,702,490
2021_march13_march14.csv,1,700,491
2021_march14_march15.csv,1,658,436
2021_march15_march16.csv,1,751,535
2021_march16_march17.csv,1,685,464
2021_march17_march18.csv,1,842,601
2021_march18_march19.csv,1,762,551
2021_march19_march20.csv,1,679,478
2021_march1_march2.csv,1,568,401
2021_march20_march21.csv,1,724,464
2021_march21_march22.csv,1,692,436
2021_march22_march23.csv,1,694,459
2021_march23_march24.csv,1,760,554
2021_march24_march25.csv,1,778,582
2021_march25_march26.csv,1,784,506
2021_march26_march27.csv,1,788,558
2021_march27_march28.csv,1,686,483
2021_march28_march29.csv,1,626,426
2021_march29_march30.csv,1,713,525
2021_march2_march3.csv,1,564,414
2021_march30_march31.csv,1,736,549
2021_march31_april1.csv,1,736,545
2021_march3_march4.csv,1,383,317
2021_march4_march5.csv,1,599,453
2021_march5_march6.csv,1,588,417
2021_march6_march7.csv,1,632,470
2021_march7_march8.csv,1,597,426
2021_march8_march9.csv,1,566,382
2021_march9_march10.csv,1,617,441
2021_may10_may11.csv,1,518,394
2021_may11_may12.csv,1,424,279
2021_may12_may13.csv,1,508,381
2021_may13_may14.csv,1,632,497
2021_may14_may15.csv,1,627,476
2021_may15_may16.csv,1,484,388
2021_may16_may17.csv,1,451,368
2021_may17_may18.csv,1,505,393
2021_may18_may19.csv,1,486,393
2021_may19_may20.csv,1,522,441
2021_may1_may2.csv,1,601,412
2021_may20_may21.csv,1,493,410
2021_may21_may22.csv,1,450,384
2021_may22_may23.csv,1,451,396
2021_may23_may24.csv,1,353,302
2021_may24_may25.csv,1,457,394
2021_may25_may26.csv,1,421,366
2021_may26_may27.csv,1,454,394
2021_may27_may28.csv,1,489,428
2021_may28_may29.csv,1,484,411
2021_may29_may30.csv,1,432,373
2021_may2_may3.csv,1,507,370
2021_may30_may31.csv,1,369,321
2021_may31_june1.csv,1,420,368
2021_may3_may4.csv,1,565,433
2021_may4_may5.csv,1,575,435
2021_may5_may6.csv,1,605,469
2021_may6_may7.csv,1,1115,982
2021_may7_may8.csv,1,1263,1143
2021_may8_may9.csv,1,530,410
2021_may9_may10.csv,1,481,354
2021_november10_november11.csv,1,215,173
2021_november11_november12.csv,1,219,153
2021_november12_november13.csv,1,184,138
2021_november13_november14.csv,1,198,154
2021_november14_november15.csv,1,166,129
2021_november15_november16.csv,1,160,112
2021_november16_november17.csv,1,174,133
2021_november17_november18.csv,1,176,139
2021_november18_november19.csv,1,195,160
2021_november19_november20.csv,1,167,135
2021_november1_november2.csv,1,297,209
2021_november20_november21.csv,1,167,141
2021_november21_november22.csv,1,321,115
2021_november22_november23.csv,1,229,171
2021_november23_november24.csv,1,186,153
2021_november24_november25.csv,1,182,159
2021_november25_november26.csv,1,188,142
2021_november26_november27.csv,1,195,176
2021_november27_november28.csv,1,304,287
2021_november28_november29.csv,1,282,257
2021_november29_november30.csv,1,234,206
2021_november2_november3.csv,1,425,275
2021_november30_december1.csv,1,204,173
2021_november3_november4.csv,1,413,325
2021_november4_november5.csv,1,377,321
2021_november5_november6.csv,1,325,253
2021_november6_november7.csv,1,285,228
2021_november7_november8.csv,1,254,164
2021_november8_november9.csv,1,192,159
2021_november9_november10.csv,1,204,160
2021_october10_october11.csv,1,241,193
2021_october11_october12.csv,1,171,129
2021_october12_october13.csv,1,220,177
2021_october13_october14.csv,1,243,185
2021_october14_october15.csv,1,262,219
2021_october15_october16.csv,1,214,171
2021_october16_october17.csv,1,197,151
2021_october17_october18.csv,1,170,133
2021_october18_october19.csv,1,207,174
2021_october19_october20.csv,1,211,180
2021_october1_october2.csv,1,125,98
2021_october20_october21.csv,1,188,145
2021_october21_october22.csv,1,231,195
2021_october22_october23.csv,1,202,162
2021_october23_october24.csv,1,179,140
2021_october24_october25.csv,1,178,142
2021_october25_october26.csv,1,197,161
